Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
56	41904.824	22293.229	54876.664	-7297.9414	159.5	19520.523	5630.7896	28842.238	-47.174183	57000	1.1444092e-08	73278800.0	-0.014281442	-3933840.0	0.0043441816	0.0	6277.5407156944275
57	55787.258	6884.7705	63859.152	43461.434	183.2	18810.443	5147.1836	29691.414	3687.9558	58000	3.4570693e-09	80863220.0	-0.01874633	-13755800.0	0.0057704514	0.0	6378.056725263596
58	45195.92	21595.855	58652.137	-2903.0515	163.5	22225.918	5298.88	30799.785	2506.3645	59000	1.9550324e-08	86041144.0	-0.018915186	-17448240.0	0.006940339	0.0	6479.397495746613
59	26944.219	38181.016	60895.633	-25816.24	195.2	11697.96	13200.094	29289.424	-10509.066	60000	8.106232e-09	109992376.0	-0.020366762	-17408448.0	0.0058466387	0.0	6585.8887984752655
60	34657.316	25756.674	60704.125	3377.342	178.0	15499.279	9977.247	26663.625	-18472.787	61000	-1.1444092e-08	220200670.0	-0.01810107	-52534750.0	0.0024698058	0.0	6687.361130237579
61	55562.5	2452.7393	59977.68	53319.367	159.0	14407.703	4095.3052	24760.52	5514.0166	62000	3.4570693e-08	116103416.0	-0.019577177	-56473310.0	0.0059278468	0.0	6799.565088748932
62	19189.127	37189.57	57954.453	-23041.213	201.5	10512.312	12049.802	31034.438	-6436.686	63000	-2.7537347e-08	156445740.0	-0.01504889	-63042864.0	0.0046876282	0.0	6910.552173614502
63	45756.137	22344.445	60268.28	-3939.163	159.16667	15447.734	6036.3813	24676.691	-14314.632	64000	7.629395e-09	96376136.0	-0.011631319	-27047040.0	0.0039727096	0.0	7027.414609670639
64	16806.232	27298.01	55171.516	-7170.661	152.16667	12032.998	14386.905	29340.547	-17871.299	65000	2.2172928e-08	187025620.0	-0.014560293	-69646170.0	0.0058498606	0.0	7137.248774051666
65	22184.617	28266.03	57376.273	-7143.0527	175.2	9189.874	8087.225	21476.072	-18750.34	66000	-8.106232e-09	158106060.0	-0.018001404	-5666064.0	0.004996849	0.0	7255.692268371582
66	41548.69	26200.102	59166.465	-3731.867	209.25	9390.83	5560.9287	22334.223	-12205.963	67000	-1.3113022e-08	96643736.0	-0.014032925	-36269440.0	0.0048291837	0.0	7385.360612154007
67	28741.236	27776.63	57576.59	-1915.9552	158.0	14368.061	6944.0024	26585.277	-12371.175	68000	1.1205673e-08	187890430.0	-0.013293607	-9716368.0	0.007197861	0.0	7506.1132390499115
68	46689.05	24016.074	62937.15	-6627.4214	163.33333	12358.094	7849.418	24345.5	-15255.942	69000	-2.026558e-08	133359620.0	-0.022199115	-61098750.0	0.007142602	0.0	7622.626212596893
69	55929.47	1379.1987	58185.992	54332.285	158.16667	22200.016	3490.069	30062.727	15825.423	70000	1.7881393e-09	35686492.0	-0.023785826	-9522120.0	0.0056185247	0.0	7753.759127378464
70	25109.18	29808.014	55923.832	-6595.7603	109.125	23058.232	5574.31	33262.99	-8963.867	71000	-6.6757204e-09	167816580.0	-0.015690776	-46163490.0	0.0068586245	0.0	7885.706204414368
71	54864.46	573.2235	55492.695	53830.5	175.0	18735.795	4196.7075	30614.424	10662.888	72000	1.3828277e-08	40010908.0	-0.008537034	-12243308.0	0.0027386178	0.0	7985.996658086777
72	46365.965	19860.621	57541.402	2087.7756	161.33333	21566.668	7013.5215	36619.844	-17842.082	73000	-5.4836273e-09	118559070.0	-0.009594601	-29772024.0	0.0038486365	0.0	8102.939553260803
73	54872.184	1234.3024	56251.055	52896.336	161.0	20057.361	5103.0073	35916.355	11571.727	74000	-5.2452087e-09	34119190.0	-0.015480542	-17536452.0	0.0048860195	0.0	8204.667705059052
74	39650.992	24591.645	58745.92	166.9049	139.85715	23806.516	5176.7314	38248.84	14902.004	75000	-2.8371812e-08	138549890.0	-0.01052148	-65370456.0	0.0043640863	0.0	8312.07741355896
75	47664.863	20853.088	61051.03	1336.3688	150.0	20157.076	6406.8496	31754.754	-11874.2295	76000	1.4305115e-09	53635644.0	-0.01314047	-5274892.0	0.0044095265	0.0	8418.54905295372
76	46015.145	19509.488	56841.133	2479.5781	151.5	22830.814	4314.937	36538.637	15722.777	77000	4.768372e-10	102517360.0	-0.01516911	-7862192.0	0.004028451	0.0	8534.217099189758
77	56460.656	1771.9109	58628.19	54350.168	168.2	20546.578	7450.477	36392.004	-16109.887	78000	1.1920929e-08	48892936.0	-0.015702222	-29608562.0	0.0053345403	0.0	8635.723288536072
78	47299.99	20568.186	60283.73	1510.0634	155.33333	22951.984	5144.226	39212.44	11308.151	79000	2.8371812e-08	99015960.0	-0.011102548	-38291268.0	0.0039063427	0.0	8752.516270160675
79	56036.527	2009.2128	58477.87	52727.203	159.83333	22393.371	4444.3286	33777.934	14553.402	80000	-1.3113022e-08	25984452.0	-0.015595901	-7089948.0	0.008412567	0.0	8854.431674718857
80	46784.39	19810.766	56389.03	2493.5562	148.0	24323.393	4873.282	38581.293	16652.299	81000	1.66893e-08	69349240.0	-0.007566301	-7230080.0	0.004327264	0.0	8961.88821387291
81	56677.996	1418.3429	59582.266	55425.48	155.5	22419.36	5129.877	37491.574	12813.442	82000	1.45435335e-08	24552666.0	-0.008045919	-6745030.0	0.004203982	0.0	9073.815326452255
82	46342.9	21732.629	55652.24	-6880.306	138.71428	24697.195	5221.9014	40454.938	-1921.2587	83000	1.45435335e-08	42454508.0	-0.010229253	-3772344.0	0.006198717	1.0	9185.218665122986
83	39063.152	26188.637	61848.414	1188.4452	147.16667	22702.562	4924.685	39205.562	12940.151	84000	-1.6689301e-09	176903840.0	-0.010313556	-20395152.0	0.003298557	0.0	9308.664187431335
84	58114.848	2316.1267	61011.47	55054.84	156.0	19660.371	5304.965	37216.227	10802.623	85000	7.987023e-09	54343452.0	-0.006752906	-37581710.0	0.002289978	0.0	9410.143730640411
85	46237.973	23657.08	59616.35	-6554.404	142.5	24757.223	4989.128	43143.113	12881.747	86000	-9.059906e-09	50084076.0	-0.014158581	-6738296.0	0.006835646	0.0	9511.667431116104
86	56214.72	1336.7542	58566.31	54699.016	160.0	23526.592	5200.5806	41647.652	12652.39	87000	2.861023e-09	20515942.0	-0.0051109074	-3757946.0	0.0040051755	0.0	9629.368164777756
87	31268.61	25065.598	58444.67	2924.512	155.0	24768.305	5449.8115	43710.42	14535.825	88000	4.2915342e-09	307501470.0	-0.017514596	-139980910.0	0.004698842	0.0	9738.86187696457
88	48548.297	20347.094	61942.473	3290.8599	145.83333	13745.06	4222.6895	29370.178	5815.594	89000	-2.6226044e-09	151366290.0	-0.010142638	-65914230.0	0.0041229767	0.0	9845.58865070343
89	56456.734	1911.6558	59272.035	54129.406	166.16667	20983.904	5267.418	39759.055	11445.494	90000	2.193451e-08	29966764.0	-0.0132827675	-12767524.0	0.0046284827	0.0	9957.042870044708
90	55943.16	1774.6771	59203.926	53647.164	164.16667	24547.688	5827.5767	44240.52	13444.864	91000	1.2397766e-08	19383968.0	-0.01090321	-2008432.0	0.004463624	0.0	10069.005913972855
91	38856.96	24997.775	58681.95	2434.1108	150.0	23322.672	5329.518	39581.2	-2177.6726	92000	9.536743e-09	179026430.0	-0.011248611	-36980624.0	0.005495298	0.0	10184.724677562714
92	57038.977	1842.1136	58878.75	54272.984	183.0	17851.732	5019.241	38216.75	8301.406	93000	2.2649765e-08	62623376.0	-0.009993909	-23101380.0	0.0030312757	0.0	10285.916917800903
93	56364.81	1218.9796	58508.844	54413.19	152.66667	23097.713	6329.3657	42450.74	13346.67	94000	-1.859665e-08	18275416.0	-0.013778444	-5705179.0	0.005985273	0.0	10398.31127500534
94	41746.844	24716.201	58495.92	2361.7705	136.0	24282.775	7530.617	43898.84	-1366.0024	95000	1.525879e-08	87798450.0	-0.018940616	-17619368.0	0.007862797	0.0	10505.598532915115
95	49620.83	20564.3	62537.43	3818.0352	157.83333	21541.99	4846.5317	39499.684	14325.222	96000	4.529953e-09	109462270.0	-0.014322165	-8501832.0	0.004909258	0.0	10611.157425880432
96	56192.465	1116.549	57938.44	54705.08	156.66667	22148.283	5784.512	37634.145	11612.707	97000	-5.722046e-09	23817072.0	-0.011953376	-8966805.0	0.0045712553	0.0	10723.527601480484
97	48272.89	19997.324	58750.855	3609.8706	155.0	24676.244	5519.898	40821.28	14718.995	98000	-1.2874604e-08	101983700.0	-0.010551442	-13748168.0	0.006421681	0.0	10845.141819238663
98	49055.34	21749.318	60599.402	495.0678	161.33333	19410.82	9286.792	36090.34	-19484.64	99000	1.4781952e-08	76382240.0	-0.011533603	-10832668.0	0.002519414	0.0	10960.620177984238
99	57607.043	2164.659	60861.246	53678.42	162.66667	23456.297	6522.415	41333.465	12747.167	100000	3.3378602e-09	22470828.0	-0.021885945	-4440316.0	0.0037720562	0.0	11067.889544248581
