Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
72	29292.486	19445.47	42253.11	-13785.025	162.0	7960.389	3504.1362	16923.78	-2522.0435	73000	0.08615564	206236480.0	-0.0020215288	-15008496.0	0.75009304	0.002367659	8006.385540723801
73	25338.717	20680.793	41542.645	-13013.026	127.0	10971.661	3971.967	20501.889	-910.23	74000	0.10803281	161631700.0	-0.0030257702	-9604608.0	0.7665631	0.004310855	8114.991429567337
74	14206.0625	25520.066	40085.086	-12182.727	150.0	13244.669	4862.078	22856.953	-2438.527	75000	0.070765	266085260.0	0.0004478097	-84933380.0	0.7618038	-0.00031601632	8222.801501989365
75	7134.425	27357.303	43812.75	-26909.172	117.375	5225.676	4697.483	12817.567	-19593.637	76000	-0.009436658	228257390.0	-0.00018988084	-7071104.0	0.7529281	0.00023648312	8330.686235189438
76	-369.49628	22737.555	45940.523	-13788.935	96.6	4039.2458	4618.4155	9303.026	-12381.757	77000	-0.004164103	191731890.0	7.0847105e-05	-13410592.0	0.75225806	5.919042e-05	8438.900354623795
77	9128.85	25554.44	46586.53	-12821.545	107.75	1105.3798	3807.874	6112.884	-12536.862	78000	0.0076401834	215660960.0	-0.000474161	-16460128.0	0.7269065	0.00013189277	8546.979414224625
78	4181.116	23614.377	40747.45	-17495.69	129.0	3464.375	5848.805	15106.937	-28009.525	79000	0.06321229	160747100.0	-0.0001257509	-8290272.0	0.721203	-0.00015686273	8655.739083766937
79	12309.899	25985.688	44692.188	-12228.453	128.0	2100.7346	3793.3052	6839.172	-14483.454	80000	-0.02925171	198314600.0	-0.0013034698	-14064208.0	0.70302486	0.000108722685	8763.0197930336
80	9303.436	26958.922	46009.332	-14878.858	95.4	5200.8916	4967.7	10335.733	-16782.86	81000	-0.014490588	244127540.0	-0.00081366487	-35968384.0	0.7710109	-0.0002613336	8871.66226387024
81	23414.9	23689.035	41606.875	-12392.213	152.0	10390.928	3931.4954	17794.646	-10751.657	82000	0.07416423	200068940.0	-0.0002605766	-16504416.0	0.7137948	-0.0002982152	8979.075645446777
82	30872.209	18976.549	43165.176	-11048.016	150.66667	9249.03	2875.5835	13144.706	-9979.306	83000	0.033280816	171413730.0	-0.00041792542	-20113488.0	0.75220144	4.797298e-05	9085.880247831345
83	7912.441	25359.87	44598.754	-14373.147	104.111115	10591.992	6970.3228	22254.611	-18017.775	84000	-0.017330825	224008110.0	-0.0019629616	-28166656.0	0.70830417	0.00040353183	9194.164204835892
84	35486.83	20263.176	46621.805	-13907.421	129.42857	7677.4136	3824.4688	11888.002	-14824.619	85000	0.0029576302	236499570.0	-0.0005338192	-115596800.0	0.71367276	0.0007704414	9302.022434949875
85	26315.45	23590.152	43638.902	-11854.928	121.71429	17712.238	4748.7188	26457.373	-6799.7153	86000	0.07363495	221988700.0	-0.0001513362	-48904256.0	0.7030177	6.315826e-05	9409.69379067421
86	22803.781	25303.945	41516.93	-14120.452	147.66667	12193.845	4138.2803	18536.22	-4111.0747	87000	0.026182575	196099090.0	-0.00013354607	-13623376.0	0.71003604	0.0001544475	9517.660479307175
87	22890.264	24925.9	45360.977	-13634.105	152.0	9997.307	3767.834	16085.575	-11395.243	88000	0.054330196	183026350.0	-5.2075833e-05	-3582880.0	0.6972845	-0.00026161128	9625.167937040329
88	33720.57	18695.377	44403.688	-11826.061	142.42857	10184.102	3418.7947	15855.895	-5375.106	89000	0.028737163	185581870.0	-0.00020093843	-34409470.0	0.67636555	-0.00024356242	9733.49349308014
89	22132.523	24260.06	42334.312	-13129.501	139.33333	14714.981	5013.1665	20455.984	-12557.014	90000	0.059105933	194253550.0	-0.00052025914	-33612750.0	0.7549021	9.935756e-05	9840.545058727264
90	14049.667	26755.828	41958.098	-15715.695	154.5	9517.577	4401.972	16328.696	-12680.003	91000	-0.010952366	209567680.0	-0.00062832516	-14302640.0	0.732529	0.00026237773	9948.485148906708
91	22792.998	23267.717	44597.555	-10557.814	150.0	6403.943	3639.6045	15081.008	-8736.033	92000	-0.023120945	175826380.0	-0.00086279213	-20881456.0	0.69535583	0.0011381705	10055.616315364838
92	41040.94	3204.281	46802.44	37228.926	142.0	11032.96	3150.1526	15588.554	-4580.7007	93000	0.02472123	165886610.0	-0.00050887465	-84863390.0	0.6881347	-1.0207623e-05	10163.793167352676
93	23373.58	23843.684	41632.875	-16088.804	136.0	17977.842	4094.9019	26262.824	7645.5415	94000	0.048666593	177734560.0	-0.0004268214	-35213330.0	0.7283431	0.00014858729	10271.814582109451
94	16927.922	25122.324	41833.24	-12125.6875	112.57143	13164.829	3502.7397	24683.453	-3950.798	95000	0.03158937	171679550.0	-0.0013660695	-23663488.0	0.7348673	0.001361128	10379.9306640625
95	28939.287	17668.729	38846.434	-6377.9346	154.6	9718.401	3915.784	19124.105	-3380.7695	96000	0.06339223	148122500.0	-0.0015852749	-5507312.0	0.7240803	0.0016780695	10487.751959562302
96	26129.51	23075.854	42424.77	-12122.728	131.14285	9910.722	3896.7234	20227.912	-5272.733	97000	0.009272526	157773570.0	-0.0011038389	-15991680.0	0.69420266	0.00020351462	10595.765062332153
97	27515.004	22705.645	42974.23	-9726.461	136.85715	12828.458	3948.6458	20889.488	-4117.287	98000	0.02811949	163521550.0	-0.00010099448	-12974928.0	0.6642166	-0.00054201804	10703.453491687775
98	27005.27	22866.57	43402.82	-10749.267	137.42857	12989.896	4972.4624	21795.05	-9071.869	99000	-0.029093053	184480880.0	0.0003305301	-7941472.0	0.6901554	-0.0008039355	10811.73863863945
99	26686.709	23614.717	44201.41	-11951.852	139.42857	13174.482	5190.346	21156.66	-11637.413	100000	-0.028966324	166165650.0	-0.00024147332	-7803904.0	0.68103355	6.1236555e-05	10919.10687160492
