Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
54	-4945.0093	335.60028	-4338.049	-5920.684	50.57895	-5633.181	2300.7915	-2163.5134	-9815.132	55000	-0.035901576	121398.41	-0.0008099079	-12984.0625	0.11756557	0.00014960342	6077.204772472382
55	-4908.75	416.71628	-4080.5308	-5987.1357	50.526318	-5714.44	2311.135	-2260.1917	-9957.688	56000	-0.04316546	125370.86	-0.00092560425	-11405.711	0.10325502	-4.178722e-05	6188.845250844955
56	-5047.4907	375.4217	-4121.155	-5985.254	50.842106	-5744.985	2320.7498	-2246.7043	-9901.324	57000	-0.05304113	113537.1	-0.0012389421	-6703.2344	0.14702493	0.0010362213	6296.105334043503
57	-4768.2017	271.02408	-4303.3003	-5196.391	51.105263	-5730.03	2290.4033	-2275.3787	-9893.057	58000	0.0065445346	101081.586	0.00018978026	-20826.781	0.06697171	-0.0004773723	6397.104081869125
58	-4873.3975	257.2354	-4301.4546	-5338.553	50.36842	-5613.5044	2361.6235	-2077.833	-9865.966	59000	-0.034582596	111144.44	-0.0008148998	-14687.32	0.07664631	-0.00013344285	6498.853814601898
59	-4964.5894	311.06982	-4479.0303	-5766.081	50.263157	-5823.712	2329.6611	-2166.4194	-9897.645	60000	-0.019110072	89970.2	-0.0006836243	-2965.625	0.102505155	0.00036206908	6615.779897212982
60	-4843.997	309.7154	-4193.1484	-5445.9062	50.42105	-5759.868	2292.8267	-2199.1548	-9832.922	61000	-0.022627948	104126.56	-0.00040906668	-6389.8906	0.07082124	-0.00010829433	6722.887276649475
61	-4822.0347	190.54271	-4401.945	-5189.151	50.31579	-5601.928	2314.8044	-1921.5192	-10679.27	62000	-0.024417149	79102.42	-0.00031658262	-8336.852	0.06991637	-3.4475506e-05	6839.411175966263
62	-4899.7354	245.67928	-4404.605	-5304.437	49.55	-5717.569	2351.7817	-1960.8529	-10156.882	63000	-0.03136022	61586.914	-0.00071826205	-1853.082	0.058353476	-0.00016648791	6956.600063085556
63	-4837.277	222.6101	-4300.058	-5233.2983	50.473682	-5756.741	2304.747	-2196.0012	-9899.324	64000	-0.03531552	59051.844	-0.00062069297	-10847.75	0.063682705	2.6959404e-05	7057.20400929451
64	-4848.1724	213.65044	-4407.835	-5299.296	50.473682	-5576.209	2346.843	-2093.3906	-10026.248	65000	-0.027401764	77866.11	-0.00047194026	-16244.895	0.07033797	0.00019209072	7164.157106399536
65	-4820.071	292.47995	-4297.5767	-5491.6587	50.842106	-5707.9307	2307.308	-2034.823	-10353.913	66000	-0.039048165	89734.79	-0.0005886741	-11011.883	0.0759086	0.00030622655	7274.630040407181
66	-4857.738	173.40033	-4619.8022	-5265.0	50.157894	-5707.596	2366.1008	-2017.1064	-10007.189	67000	-0.0007134809	60520.254	-0.00016149	-2525.414	0.060826544	0.000103927276	7379.006627321243
67	-4814.7705	293.9333	-4405.7085	-5629.5894	51.42105	-5669.217	2349.7	-2130.446	-9914.772	68000	-0.047519118	60834.336	-0.0007365048	-2671.168	0.094630055	0.00074425637	7479.695913314819
68	-4858.1997	227.39015	-4436.1523	-5407.526	49.7	-5651.5757	2397.1482	-1969.0698	-10187.671	69000	-0.026690504	72254.33	-0.00060435757	-7755.832	0.050834075	3.408687e-05	7596.03153014183
69	-4890.9736	275.81537	-3971.2236	-5336.4585	50.263157	-5726.693	2338.0032	-2092.6077	-10925.063	70000	0.038151138	103331.414	0.00021394715	-11049.008	0.09924584	0.0006027653	7702.386384487152
70	-4913.1416	319.69904	-4297.3213	-5589.6963	48.75	-5684.839	2311.8774	-2117.921	-9900.719	71000	-0.0053988453	85799.266	-0.000103607774	-3016.0156	0.025912248	-0.00017092231	7815.427041769028
71	-5341.93	190.62613	-5046.919	-5766.9414	45.045456	-5730.227	2309.1785	-2184.4421	-9919.756	72000	-0.024760824	160590.98	-0.0004702881	-118562.91	0.039667398	2.2215938e-05	7923.338370800018
72	-5482.5728	158.033	-5051.4604	-5730.9097	43.727272	-6056.96	2166.4302	-2681.3628	-10045.907	73000	-0.020198239	43930.984	-0.00036389008	-14202.5	0.038805477	4.1430943e-05	8032.02330160141
73	-5392.718	195.05527	-4941.4478	-5697.094	44.31818	-6149.417	2114.2278	-2847.2231	-10045.478	74000	0.018902859	51486.88	0.00018475018	-7335.7188	0.032924246	-3.4497403e-05	8141.002168178558
74	-5368.5293	221.19247	-4720.282	-5771.9443	44.772728	-6050.59	2155.7192	-2675.7056	-10872.517	75000	-0.029213963	58396.168	-0.00039671175	-1682.2266	0.05639125	0.00018107581	8249.55266737938
75	-5404.166	162.21822	-5052.418	-5707.6094	44.227272	-6077.255	2139.9602	-2759.3276	-10285.221	76000	-0.029005846	29480.123	-0.0003672894	-213.95312	0.030550247	-1.5521951e-05	8358.24617433548
76	-5410.9155	223.24417	-4941.1836	-5772.4517	44.227272	-6074.7417	2155.566	-2764.43	-10430.748	77000	-0.030646631	41549.383	-0.00040076487	-849.33594	0.037401866	7.490969e-05	8466.350475549698
77	-5383.249	187.16101	-4871.727	-5695.6733	44.68182	-6111.972	2122.823	-2769.4465	-10412.756	78000	-0.01486	44867.676	-0.00011454802	-4619.6562	0.053966697	0.00025074786	8575.710857868195
78	-5370.275	208.93774	-4940.461	-5875.9937	45.090908	-6056.5	2153.577	-2708.0496	-9971.83	79000	-0.058588497	35260.297	-0.0006642118	-1134.7852	0.057362586	0.0003529154	8686.15231013298
79	-5330.8687	102.252716	-5065.9204	-5522.3945	44.727272	-6026.219	2182.1277	-2675.0051	-9979.383	80000	-0.0013566866	22204.8	-6.941031e-05	-820.3926	0.019658986	-6.205754e-05	8794.82990026474
80	-5437.3027	172.79324	-5158.7637	-5803.9136	43.727272	-6086.8184	2138.1597	-2712.38	-9986.493	81000	-0.0023588266	36006.98	-7.261895e-05	-2424.7266	0.019968776	-4.9316157e-05	8904.287678480148
81	-5369.9263	187.65862	-4944.694	-5595.4365	44.136364	-6065.3	2125.5466	-2797.9504	-9965.758	82000	-0.00666779	42588.57	-7.064454e-05	-420.3086	0.008847082	-0.0001335185	9012.841510295868
82	-5429.438	168.9538	-5156.805	-5836.0415	43.909092	-6108.3364	2128.6726	-2777.2793	-9992.63	83000	-0.0051281196	29722.928	-6.667711e-05	-600.3379	0.032736152	9.14584e-05	9121.31488609314
83	-5430.6006	226.1182	-4940.5557	-5914.857	44.0	-6130.854	2113.193	-2819.561	-9959.628	84000	-0.007591264	40099.3	-7.0868526e-05	-569.0703	0.030170415	7.2839306e-05	9230.357492923737
84	-5256.9756	127.78599	-5046.8345	-5478.956	45.31818	-6080.862	2135.4822	-2763.3828	-9955.744	85000	-0.020676058	44442.207	-0.00016167946	-7947.0156	0.020513698	7.1792397e-06	9338.130925893784
85	-5440.1416	159.91394	-5262.523	-5732.889	43.590908	-6047.2827	2176.4934	-2644.7	-10004.035	86000	-0.012722113	44717.168	-0.0001654597	-11218.137	0.014573805	-4.9933547e-05	9446.974732398987
86	-5403.5	169.5465	-5050.626	-5625.484	44.045456	-6120.533	2122.8447	-2819.0898	-9973.154	87000	-0.0178425	32912.207	-0.00016557053	-1371.2441	0.020657636	1.6587308e-05	9556.506636619568
87	-5253.152	232.28131	-4732.437	-5587.383	45.090908	-6077.843	2143.3474	-2787.928	-10272.126	88000	-0.0001277156	69833.2	6.874274e-06	-9650.469	0.0027953314	-0.00012024741	9664.703660726547
88	-5337.52	137.89069	-5077.524	-5735.3447	44.409092	-5995.657	2185.6118	-2640.1777	-10298.0205	89000	-0.016695622	30516.617	-0.00016123056	-3100.7734	0.009575701	-6.412811e-05	9773.338252067566
89	-5420.4424	190.13771	-4980.3413	-5837.6343	44.272728	-6005.462	2147.1162	-2747.011	-10200.392	90000	-0.054488473	38797.293	-0.0005671531	-8900.48	0.04176874	0.0002646135	9882.597794055939
90	-5367.1387	207.7824	-5048.3438	-5749.2334	44.454544	-6135.055	2145.48	-2831.6152	-10374.5625	91000	0.0059137824	41141.8	2.252264e-05	-7031.215	0.024729121	7.014555e-05	9992.211465120316
91	-5320.17	160.33948	-4943.123	-5587.7344	44.68182	-6026.7515	2164.0457	-2733.7576	-10273.24	92000	-0.0064848126	33747.39	-5.2460935e-05	-177.13672	0.01597111	-1.6335865e-05	10104.554770708084
92	-5353.5996	175.083	-5049.606	-5628.2217	44.5	-6001.172	2153.9854	-2733.9932	-9942.654	93000	-0.02058546	38038.617	-0.00017984398	-1909.5273	0.019665886	4.2351097e-05	10214.07733464241
93	-5318.32	177.60635	-4943.74	-5622.1914	44.909092	-6102.8213	2176.5164	-2761.8755	-10412.499	94000	-0.0089049	47147.598	-7.116329e-05	-5401.2383	0.026878713	9.235168e-05	10323.07774925232
94	-5430.0864	165.1978	-5154.974	-5981.764	43.863636	-6008.516	2152.0938	-2719.634	-10213.871	95000	-0.03463592	42466.207	-0.0003202632	-11387.736	0.024679745	9.709598e-05	10431.543897628784
95	-5410.319	156.71573	-5157.888	-5731.071	43.727272	-6138.989	2125.5928	-2828.864	-10342.598	96000	-0.004706297	24926.256	-5.8134552e-05	-933.1035	0.0074347253	-4.1842985e-05	10540.010160207748
96	-5450.129	130.32654	-5158.468	-5696.6436	43.391304	-6111.265	2121.2737	-2837.2683	-9955.224	97000	-0.018221283	27438.814	-0.00013119169	-2026.7812	0.008264156	-3.8980106e-05	10648.952381134033
97	-5337.024	164.89404	-4945.935	-5624.3916	44.772728	-6143.212	2124.3865	-2886.9448	-9981.868	98000	-0.0044433344	50590.105	-3.2502227e-05	-11085.465	0.02580189	0.000102856015	10757.161341428757
98	-5259.441	197.86778	-4940.807	-5733.403	45.272728	-6064.129	2174.7605	-2746.7397	-9964.831	99000	-0.016511148	42127.867	-0.00012342632	-3521.711	0.015072062	2.40687e-05	10864.977787733078
99	-5331.1934	141.31567	-5050.3154	-5587.603	44.5	-5983.416	2179.9092	-2660.9165	-9926.859	100000	0.0027871355	29298.008	3.3332035e-06	-3233.6719	0.0077245864	-2.0910196e-05	10974.618785381317
