Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
66	-15665.905	2230.5146	-13435.391	-17896.42	1000.0	-2711.5586	1026.073	-1776.5403	-7463.467	134000	-3.7908553e-08	2523576.2	-0.023510186	-1528314.2	0.413954	0.026151268	0.094	79.0	14093.460303068161
67	-11190.237	1007.41406	-9498.964	-12298.728	252.0	-1993.3801	700.9467	-840.89886	-4374.972	136000	2.9802323e-09	4949725.0	-0.02658254	-2185511.2	0.3845462	0.08209814	0.1285	32.0	14299.512280225754
68	-15898.527	12518.331	-8670.235	-61212.637	100.5	-4974.154	470.48285	-3008.6746	-7631.796	138000	-1.6498565e-07	12691464.0	-0.024143744	-11920843.0	0.5713811	0.06216886	0.1285	43.0	14516.19780921936
69	-14558.154	5793.3306	-8521.414	-26554.746	110.375	-8385.197	805.58563	-5907.1494	-12022.528	140000	-2.849102e-08	3906029.2	-0.023165157	-1755833.5	0.498627	0.021122647	0.0885	79.0	14730.238266944885
70	-23846.156	17738.008	-8955.188	-60851.445	287.0	-7875.3604	673.8216	-6209.0093	-11366.64	142000	-3.0994414e-08	4738854.5	-0.04147086	-2479242.8	0.49615943	0.082067475	0.2395	62.0	14954.378159999847
71	-17683.207	9206.411	-9541.332	-36679.586	233.16667	-6297.358	696.21655	-5481.1113	-9574.715	144000	2.324581e-08	4977702.0	-0.03829505	-2071494.2	0.48635718	0.0465241	0.1545	79.0	15168.689258098602
72	-44666.867	45911.14	-11204.008	-123826.42	383.5	-6161.922	1702.9471	-3004.267	-11391.656	146000	-1.8835069e-08	16740700.0	-0.033352852	-13561491.0	0.40362653	0.05337877	0.104	7.0	15379.511386871338
73	-13593.719	3854.4277	-10009.091	-22665.176	198.44444	-4898.631	2111.2046	-3602.3765	-14166.875	148000	-2.0980835e-08	4628437.0	-0.031933714	-1613290.0	0.46699783	0.02610979	0.0675	79.0	15589.43860244751
74	-16183.752	1167.1265	-15016.626	-17350.879	1000.0	-2958.6675	359.2074	-2754.5488	-7249.1724	150000	5.25713e-08	2145463.8	-0.010558599	-1605820.5	0.43401787	0.010826646	0.011	79.0	15796.440258264542
75	-12441.154	3315.699	-9750.713	-18752.621	350.2	-1852.0446	326.64108	-1441.8517	-4219.6006	152000	5.841255e-09	4427176.0	-0.00576081	-291370.75	0.3856864	0.0055031283	0.0245	79.0	16008.689329385757
